line_id,p(Contr),p(Entl)
110,0.01288228,0.98671174
111,0.00910423,0.99030417
112,0.00572988,0.99367464
113,0.00408037,0.99538016
114,0.87366772,0.12575457
115,0.99953330,0.00036208
116,0.99934024,0.00059315
117,0.99955994,0.00034994
118,0.99954551,0.00032766
119,0.00394820,0.99558312
120,0.94204319,0.05751245
121,0.00567442,0.99379939
122,0.99796629,0.00175582
123,0.99969733,0.00026613
124,0.00730878,0.99226499
125,0.99960333,0.00036605
126,0.99961394,0.00033277
127,0.99937952,0.00043444
128,0.10775741,0.89111269
129,0.99965549,0.00027586
130,0.99960703,0.00034748
131,0.99955696,0.00037704
132,0.00335809,0.99638003
133,0.00380403,0.99588746
134,0.09000044,0.90922666
135,0.00502919,0.99465239
136,0.99944741,0.00047251
137,0.00431023,0.99517953
138,0.99884027,0.00089000
139,0.00524319,0.99446976
140,0.00840221,0.99084818
141,0.00427413,0.99534118
142,0.99924964,0.00060210
143,0.99964333,0.00029575
144,0.99964941,0.00030881
145,0.00826206,0.99119449
146,0.02137309,0.97759569
147,0.99963439,0.00029876
148,0.99958521,0.00033109
149,0.00853756,0.99067265
150,0.00358251,0.99608314
151,0.00869992,0.99080360
152,0.99887949,0.00095369
153,0.79180986,0.17861916
154,0.99972183,0.00022592
155,0.00491791,0.99454558
156,0.00546063,0.99416322
157,0.00662134,0.99313146
158,0.00541472,0.99388415
159,0.03425629,0.96506804
160,0.06582487,0.93308288
161,0.99578899,0.00366218
162,0.00332826,0.99639171
163,0.99897838,0.00085122
164,0.01326591,0.98632497
165,0.00501178,0.99442333
166,0.00654664,0.99302202
167,0.99917871,0.00064426
168,0.00597185,0.99352020
169,0.99887758,0.00097259
170,0.03026192,0.96854657
171,0.01201759,0.98728627
172,0.00699531,0.99230087
173,0.00343028,0.99622214
174,0.00411771,0.99515814
175,0.99955040,0.00035187
176,0.63545603,0.36377433
177,0.00351111,0.99606031
178,0.00513329,0.99433893
179,0.99956959,0.00033061
180,0.99850059,0.00105477
181,0.99747998,0.00226395
182,0.99916923,0.00055288
183,0.99939203,0.00044918
184,0.00580220,0.99374312
185,0.99883813,0.00097847
186,0.99378282,0.00546139
187,0.00374278,0.99556690
188,0.00517775,0.99441081
189,0.99964249,0.00025676
190,0.99959642,0.00031117
191,0.00173228,0.99814808
192,0.99908590,0.00076736
193,0.99965894,0.00025721
194,0.99789906,0.00191683
195,0.99968493,0.00024621
196,0.96732116,0.02447733
197,0.99955827,0.00037677
198,0.00056625,0.99913508
199,0.99941945,0.00041404
200,0.00276809,0.99696487
201,0.00645805,0.99263167
202,0.99956721,0.00032923
203,0.99940419,0.00043951
204,0.99942100,0.00048274
205,0.00443388,0.99502027
206,0.00060625,0.99918598
207,0.99916661,0.00070768
208,0.00184759,0.99786830
209,0.99605066,0.00365363
210,0.02178926,0.97744548
211,0.98933256,0.01056522
212,0.97019190,0.02837433
213,0.99950469,0.00035746
214,0.00088886,0.99893242
215,0.00221140,0.99752361
216,0.99933559,0.00049144
217,0.99965513,0.00024100
218,0.00149641,0.99832362
219,0.00761408,0.99184072
220,0.99925727,0.00055662
221,0.00105818,0.99865842
222,0.99894446,0.00093625
223,0.00129049,0.99819762
224,0.00226040,0.99745041
225,0.01258325,0.98723918
226,0.00079253,0.99887639
227,0.99865168,0.00120202
228,0.99928027,0.00050217
229,0.99855298,0.00053052
230,0.99838662,0.00115733
231,0.99957055,0.00034214
232,0.99946314,0.00045028
233,0.00108850,0.99869788
234,0.00075511,0.99911231
235,0.00080327,0.99875689
236,0.00093979,0.99887055
237,0.45647871,0.54296672
238,0.00076892,0.99901199
239,0.00346487,0.99627930
240,0.99947184,0.00041283
241,0.30811837,0.69103110
242,0.82483685,0.17484081
243,0.99934369,0.00056945
244,0.99916017,0.00076425
245,0.00231936,0.99740547
246,0.99808705,0.00097230
247,0.00207462,0.99748528
248,0.99951708,0.00040250
249,0.00071704,0.99913424
250,0.98826551,0.01139566
251,0.99857593,0.00059897
252,0.99930394,0.00047985
253,0.00107581,0.99875796
254,0.00061041,0.99916255
255,0.00088633,0.99886203
256,0.00062206,0.99918777
257,0.00081434,0.99899524
258,0.00127807,0.99846989
259,0.99929631,0.00056515
260,0.00394943,0.99563086
261,0.00082314,0.99900049
262,0.99925107,0.00041945
263,0.99834538,0.00154255
264,0.00053538,0.99926001
265,0.10484318,0.89455748
266,0.00166823,0.99813157
267,0.00057653,0.99923134
268,0.99944776,0.00035780
269,0.99847859,0.00049650
270,0.99928838,0.00042602
271,0.00089608,0.99880183
272,0.02471204,0.97445911
273,0.99951649,0.00040148
274,0.00260417,0.99728501
275,0.99952447,0.00035630
276,0.00114146,0.99850756
277,0.00097024,0.99888808
278,0.00056070,0.99918443
279,0.99941170,0.00051215
280,0.99830997,0.00124580
281,0.00140671,0.99832994
282,0.99948776,0.00040320
283,0.99914038,0.00064301
284,0.99951530,0.00039225
285,0.99929798,0.00044157
286,0.99942869,0.00043326
287,0.00206247,0.99747795
288,0.00076758,0.99902868
289,0.99694198,0.00082769
290,0.00126256,0.99864560
291,0.99847549,0.00127051
292,0.96704334,0.03008256
293,0.00061041,0.99916255
294,0.00101190,0.99885523
295,0.99929214,0.00043196
296,0.99093455,0.00845780
297,0.82085717,0.17801400
298,0.99856949,0.00136968
299,0.00052235,0.99933261
300,0.00773100,0.99207789
301,0.99807113,0.00179429
302,0.99896860,0.00068486
303,0.60081738,0.39642084
304,0.62915283,0.37045586
305,0.05654669,0.94302231
306,0.99338371,0.00650458
307,0.00317573,0.99646461
308,0.99937445,0.00048469
309,0.00391944,0.99585897
310,0.99882478,0.00081482
311,0.99934906,0.00054461
312,0.99904495,0.00076264
313,0.01374619,0.98600417
314,0.36097100,0.63850945
315,0.01092074,0.98878211
316,0.99166614,0.00517396
317,0.22228575,0.77729750
318,0.99918455,0.00063963
319,0.00519859,0.99437815
320,0.99923551,0.00064039
321,0.99640948,0.00326934
322,0.04101526,0.95865738
323,0.01041915,0.98928881
324,0.01163919,0.98814303
325,0.17541756,0.82410544
326,0.99934322,0.00040932
327,0.02093587,0.97883290
328,0.01047856,0.98927736
329,0.00656686,0.99309313
330,0.01840372,0.98130989
331,0.00594529,0.99380177
332,0.99933439,0.00055861
333,0.04568199,0.95395672
334,0.99932384,0.00033718
335,0.99694061,0.00255932
336,0.99908972,0.00086705
337,0.99949872,0.00044058
338,0.02579261,0.97397441
339,0.00362701,0.99620831
340,0.99924076,0.00070840
341,0.01555295,0.98422712
342,0.99939156,0.00035830
343,0.98082376,0.01900037
344,0.99969625,0.00024676
345,0.02551065,0.97428030
346,0.99931848,0.00043826
347,0.01364373,0.98609275
348,0.99962270,0.00032039
349,0.99860531,0.00127260
350,0.00504912,0.99476671
351,0.01626446,0.98354739
352,0.99954599,0.00030007
353,0.99970800,0.00023583
354,0.22404830,0.77559704
355,0.00866573,0.99109042
356,0.01123186,0.98851043
357,0.99738020,0.00243234
358,0.38236758,0.61711645
359,0.99711263,0.00277317
360,0.00388058,0.99584156
361,0.00635183,0.99341053
362,0.00578726,0.99398756
363,0.99960428,0.00034606
364,0.49825424,0.50137156
365,0.99974233,0.00019226
366,0.00371858,0.99603760
367,0.99975091,0.00020408
368,0.99889427,0.00100873
369,0.00838293,0.99126995
370,0.99964786,0.00031873
371,0.00261212,0.99717593
372,0.01953896,0.98018450
373,0.23791277,0.76176399
374,0.03771724,0.96191633
375,0.00938601,0.99043018
376,0.00638778,0.99338257
377,0.99974793,0.00019727
378,0.99864763,0.00082895
379,0.99970621,0.00022165
380,0.99296486,0.00681306
381,0.01136114,0.98840779
382,0.00939671,0.99038470
383,0.99712902,0.00265468
384,0.05788355,0.94180584
385,0.99977094,0.00014866
386,0.99965286,0.00030696
387,0.00319176,0.99648702
388,0.99898559,0.00084650
389,0.00704811,0.99265784
390,0.99899489,0.00089112
391,0.99560755,0.00429759
392,0.03672650,0.96294910
393,0.00498372,0.99484861
394,0.94105703,0.05880680
395,0.99974233,0.00019226
396,0.99871361,0.00121203
397,0.00676472,0.99302292
398,0.99966967,0.00027053
399,0.99940228,0.00054534
400,0.99896085,0.00068039
401,0.00345179,0.99622947
402,0.99968839,0.00025606
403,0.99958128,0.00029921
404,0.99968088,0.00025353
405,0.00231895,0.99750739
406,0.87225199,0.12714744
407,0.99902463,0.00085343
408,0.99916458,0.00046816
409,0.99528730,0.00462914
410,0.99813616,0.00178864
411,0.00896501,0.99079949
412,0.00098678,0.99894649
413,0.00297143,0.99669987
414,0.99958307,0.00035284
415,0.00082266,0.99906307
416,0.00434020,0.99535322
417,0.00088668,0.99900573
418,0.00079910,0.99912268
419,0.00103688,0.99886912
420,0.00099895,0.99889249
421,0.87146628,0.12708938
422,0.99975091,0.00020354
423,0.99965918,0.00028663
424,0.00598613,0.99349594
425,0.99881518,0.00111346
426,0.99317402,0.00669086
427,0.00072620,0.99915051
428,0.99945074,0.00049732
429,0.00129224,0.99861896
430,0.99683964,0.00278896
431,0.00106674,0.99884099
432,0.00925873,0.99057192
433,0.99959892,0.00034994
434,0.00210708,0.99770182
435,0.00278097,0.99702930
436,0.01790822,0.98179722
437,0.99965644,0.00029712
438,0.00253269,0.99722314
439,0.00452229,0.99522144
440,0.00126924,0.99856228
441,0.23172289,0.76393712
442,0.99955684,0.00037474
443,0.00141957,0.99849582
444,0.00490418,0.99481094
445,0.99962461,0.00032239
446,0.99934715,0.00059112
447,0.99877781,0.00093536
448,0.00434585,0.99549663
449,0.00580602,0.99396682
450,0.00220499,0.99753177
451,0.00153115,0.99833220
452,0.05506642,0.94383144
453,0.00184030,0.99802411
454,0.99899477,0.00082707
455,0.01135269,0.98822594
456,0.99963856,0.00030933
457,0.99955791,0.00034671
458,0.99947637,0.00033831
459,0.00089845,0.99901712
460,0.99965453,0.00029430
461,0.00135243,0.99854702
462,0.00138582,0.99849319
463,0.99964237,0.00031025
464,0.00150128,0.99824321
465,0.99910539,0.00083311
466,0.99964237,0.00030001
467,0.99970180,0.00024623
468,0.00254412,0.99725026
469,0.99942243,0.00052998
470,0.00113865,0.99870551
471,0.99435389,0.00531599
472,0.99947888,0.00044690
473,0.00144675,0.99842644
474,0.99745053,0.00155678
475,0.99937028,0.00053019
476,0.16445149,0.83504575
477,0.99945790,0.00044804
478,0.99961424,0.00029581
479,0.01415706,0.98571914
480,0.00167735,0.99819428
481,0.99914432,0.00069122
482,0.99880481,0.00108217
483,0.00289904,0.99687541
484,0.00146513,0.99837744
485,0.99878925,0.00104834
486,0.00101361,0.99888664
487,0.99911910,0.00074966
488,0.19230528,0.80710298
489,0.99967360,0.00027055
490,0.00112783,0.99878007
491,0.01716527,0.98221487
492,0.99960297,0.00034571
493,0.99958581,0.00037551
494,0.99943942,0.00046447
495,0.00251046,0.99710208
496,0.99926311,0.00065158
497,0.00629687,0.99346912
498,0.99950469,0.00041165
499,0.99938369,0.00048134
500,0.00554618,0.99401432
501,0.99964821,0.00031842
502,0.39620674,0.60196066
503,0.99970919,0.00024211
504,0.93896312,0.06047723
505,0.99967909,0.00026603
506,0.99946219,0.00043286
507,0.00111746,0.99872845
508,0.00254016,0.99722904
509,0.00233404,0.99733436
510,0.01422697,0.98522896
511,0.00270777,0.99715650
512,0.92487085,0.07428464
513,0.99917078,0.00073476
514,0.00136470,0.99841070
515,0.99959856,0.00036402
516,0.99960703,0.00032862
517,0.99969792,0.00022757
518,0.00259737,0.99707794
519,0.99813449,0.00159564
520,0.99933308,0.00042676
521,0.00152876,0.99814939
522,0.99926835,0.00058413
523,0.99956769,0.00039583
524,0.00139722,0.99848491
525,0.99946827,0.00048094
526,0.00128694,0.99847442
527,0.99937087,0.00030921
528,0.99943250,0.00042296
529,0.99947244,0.00036353
530,0.99949825,0.00041408
531,0.99967575,0.00027658
532,0.00526429,0.99425358
533,0.06325884,0.93623912
534,0.99964392,0.00031717
535,0.99914575,0.00046517
536,0.99875689,0.00098975
537,0.01410403,0.98560727
538,0.99898607,0.00084486
539,0.01004850,0.98952883
540,0.00190857,0.99786866
541,0.00130807,0.99851483
542,0.99892420,0.00056303
543,0.00195531,0.99774361
544,0.99928999,0.00061417
545,0.99905139,0.00053684
546,0.01229997,0.98712015
547,0.00151780,0.99826247
548,0.00126527,0.99852067
549,0.99852449,0.00105813
550,0.99931359,0.00049759
551,0.99380797,0.00577774
552,0.99875307,0.00114526
553,0.73880666,0.26055053
554,0.99946815,0.00031911
555,0.01048422,0.98913085
556,0.99916613,0.00070201
557,0.00225800,0.99739659
558,0.00144933,0.99834239
559,0.00231836,0.99738115
560,0.99956948,0.00024974
561,0.00166791,0.99803132
562,0.00168793,0.99809009
563,0.00153581,0.99815011
564,0.00178702,0.99798054
565,0.00330205,0.99641246
566,0.99843889,0.00117963
567,0.99948311,0.00035270
568,0.99908817,0.00063325
569,0.99945277,0.00045806
570,0.99948430,0.00041348
571,0.99948311,0.00038576
572,0.00140317,0.99847800
573,0.00173921,0.99799877
574,0.99952304,0.00040024
575,0.99939048,0.00050519
576,0.00318878,0.99632448
577,0.99957424,0.00035371
578,0.99945980,0.00044705
579,0.00206702,0.99754095
580,0.99960607,0.00030755
581,0.00208835,0.99758041
582,0.00146950,0.99830496
583,0.99931872,0.00055392
584,0.00401648,0.99559021
585,0.01324335,0.98614430
586,0.00390688,0.99555320
587,0.00137109,0.99844235
588,0.00199434,0.99778867
589,0.99960142,0.00027833
590,0.99956757,0.00034060
591,0.00144912,0.99818605
592,0.99967849,0.00025658
593,0.07879603,0.92008549
594,0.99954057,0.00032670
595,0.00132587,0.99840707
596,0.00203494,0.99773103
597,0.99965203,0.00023278
598,0.93454641,0.06523297
599,0.00209947,0.99757868
600,0.00186828,0.99789977
601,0.00218777,0.99757582
602,0.96030116,0.03911335
603,0.00778478,0.99191028
604,0.00257506,0.99702543
605,0.99933904,0.00054733
606,0.99944121,0.00049625
607,0.99952579,0.00039724
608,0.00184908,0.99785149
609,0.99961382,0.00030741
610,0.00252666,0.99692911
611,0.02774820,0.97167563
612,0.99923801,0.00068707
613,0.99952888,0.00039980
614,0.02423079,0.97548759
615,0.99961025,0.00024147
616,0.00168059,0.99796283
617,0.99953461,0.00039873
618,0.00203014,0.99775797
619,0.99926752,0.00059501
620,0.00139535,0.99840826
621,0.99964726,0.00027207
622,0.99952638,0.00037965
623,0.99939656,0.00037421
624,0.99946088,0.00047231
625,0.00145116,0.99837923
626,0.99945515,0.00039028
627,0.00167258,0.99797827
628,0.99942303,0.00045646
629,0.00793231,0.99171537
630,0.00536343,0.99434078
631,0.99920350,0.00065590
632,0.01024660,0.98928541
633,0.00947024,0.99016809
634,0.99719691,0.00247064
635,0.01456526,0.98490566
636,0.05078308,0.94786519
637,0.04100385,0.95794058
638,0.01076771,0.98875529
639,0.99621117,0.00288069
640,0.99929750,0.00041016
641,0.01149529,0.98802096
642,0.01527930,0.98424941
643,0.99974114,0.00019147
644,0.99954706,0.00039950
645,0.99965680,0.00029250
646,0.00764170,0.99188507
647,0.01159185,0.98782247
648,0.01362948,0.98584962
649,0.99962997,0.00027223
650,0.99961507,0.00030219
651,0.01306740,0.98653167
652,0.01027542,0.98889625
653,0.99822646,0.00107335
654,0.00800581,0.99161857
655,0.00781323,0.99187124
656,0.01163133,0.98788536
657,0.86969900,0.09193985
658,0.01938080,0.97989780
659,0.17590603,0.81489950
660,0.99889803,0.00091876
661,0.99479783,0.00472790
662,0.72242445,0.27255413
663,0.99887186,0.00057545
664,0.99941468,0.00034897
665,0.99978203,0.00016986
666,0.01066073,0.98891300
667,0.99883074,0.00040415
668,0.99924552,0.00048296
669,0.99949348,0.00042428
670,0.99968815,0.00025380
671,0.99830723,0.00091027
672,0.99950838,0.00043425
673,0.00639138,0.99337536
674,0.00700146,0.99266583
675,0.00843359,0.99110037
676,0.97217822,0.02684561
677,0.00658431,0.99313664
678,0.02375641,0.97565460
679,0.00529938,0.99445611
680,0.01454960,0.98495114
681,0.00841328,0.99118161
682,0.99966288,0.00027601
683,0.00778699,0.99177974
684,0.99969947,0.00020337
685,0.99924040,0.00053359
686,0.99952984,0.00040335
687,0.99946600,0.00045146
688,0.01055590,0.98880464
689,0.99853873,0.00081957
690,0.99964917,0.00025654
691,0.01577978,0.98345816
692,0.99948186,0.00035300
693,0.00792114,0.99176520
694,0.01241220,0.98711812
695,0.01178111,0.98774207
696,0.99969161,0.00023246
697,0.98418450,0.01533132
698,0.99869210,0.00072228
699,0.00891025,0.99065489
700,0.99962771,0.00029294
701,0.00704148,0.99269134
702,0.00580361,0.99394566
703,0.99927539,0.00053359
704,0.99621993,0.00302407
705,0.97243291,0.02630402
706,0.00392080,0.99583203
707,0.01441664,0.98493385
708,0.99826568,0.00094501
709,0.99874914,0.00070876
710,0.01094890,0.98852289
711,0.99962330,0.00029554
712,0.00938318,0.99010497
713,0.11423557,0.88341981
714,0.02551907,0.97380167
715,0.99946719,0.00044364
716,0.01463842,0.98487246
717,0.10968294,0.88899636
718,0.99955112,0.00026738
719,0.99917406,0.00062267
720,0.00647306,0.99320328
721,0.99843246,0.00125220
722,0.99949634,0.00033004
723,0.99973637,0.00017108
724,0.00455048,0.99523419
725,0.01946775,0.98005486
726,0.01268665,0.98683375
727,0.99934644,0.00049449
728,0.00716658,0.99249941
729,0.01208458,0.98722643
730,0.02194746,0.97732121
731,0.99783534,0.00178484
732,0.00821527,0.99134821
733,0.99660671,0.00218719
734,0.00201108,0.99782890
735,0.00342194,0.99642771
736,0.99969602,0.00023255
737,0.00484472,0.99481899
738,0.99931145,0.00055488
739,0.96350133,0.03426885
740,0.01663655,0.98105848
741,0.81418049,0.18120463
742,0.99965215,0.00026239
743,0.00290880,0.99693429
744,0.00600726,0.99343950
745,0.01157995,0.98788041
746,0.00270118,0.99701959
747,0.99952006,0.00035041
748,0.10953238,0.88775796
749,0.99925226,0.00046279
750,0.00525240,0.99433845
751,0.99928778,0.00062283
752,0.00302366,0.99657416
753,0.01963827,0.97955966
754,0.99946374,0.00036234
755,0.99979562,0.00012789
756,0.00672305,0.99298865
757,0.99936026,0.00053165
758,0.99973148,0.00016541
759,0.00224564,0.99759477
760,0.99953079,0.00035342
761,0.99960285,0.00030366
762,0.99961275,0.00028932
763,0.00422338,0.99540496
764,0.99967825,0.00018365
765,0.00934118,0.98999912
766,0.00438983,0.99529040
767,0.99974173,0.00015470
768,0.01034483,0.98939961
769,0.99981087,0.00012512
770,0.00307378,0.99668366
771,0.00283233,0.99681723
772,0.99957031,0.00033236
773,0.99955410,0.00028466
774,0.99974960,0.00017572
775,0.99437392,0.00525398
776,0.99913919,0.00066990
777,0.00506345,0.99446315
778,0.99933499,0.00059891
779,0.99961048,0.00028860
780,0.01200137,0.98705482
781,0.00200549,0.99786276
782,0.99661249,0.00310862
783,0.99974769,0.00018512
784,0.99955863,0.00039064
785,0.00280288,0.99691147
786,0.00259705,0.99728203
787,0.00344260,0.99633360
788,0.99950886,0.00041338
789,0.00632731,0.99326444
790,0.99975020,0.00016334
791,0.00439976,0.99504060
792,0.00810975,0.99116766
793,0.99854338,0.00123703
794,0.01407066,0.98553813
795,0.99899334,0.00089572
796,0.99956495,0.00036978
797,0.99945968,0.00038728
798,0.00202220,0.99782312
799,0.99962187,0.00021855
800,0.99969423,0.00020562
801,0.00201716,0.99782002
802,0.99811792,0.00150959
803,0.99622536,0.00309463
804,0.00242350,0.99737632
805,0.99972171,0.00020254
806,0.00998805,0.98973304
807,0.99969196,0.00023961
808,0.01002661,0.98944223
809,0.99966753,0.00023109
810,0.92909032,0.06978156
811,0.00250677,0.99727875
812,0.05552095,0.94312233
813,0.00407913,0.99572939
814,0.00614810,0.99341220
815,0.99915838,0.00077266
816,0.99950051,0.00017806
817,0.00312539,0.99665159
818,0.99971753,0.00023605
819,0.00266252,0.99712545
820,0.00350943,0.99615210
821,0.00191265,0.99791020
822,0.99917418,0.00070147
823,0.00900832,0.99031430
824,0.99962151,0.00024939
825,0.00184750,0.99796677
826,0.99975795,0.00019061
827,0.00578819,0.99367249
828,0.96667475,0.03134591
829,0.99971086,0.00024584
830,0.00318439,0.99638271
831,0.00213473,0.99773079
832,0.00175479,0.99797767
833,0.99971956,0.00021962
834,0.99958605,0.00033678
835,0.99946541,0.00034431
836,0.00180158,0.99798524
837,0.00484529,0.99469167
838,0.00347867,0.99612063
839,0.01593695,0.98318130
840,0.02902573,0.97027761
841,0.97702593,0.02241068
842,0.01588640,0.98374975
843,0.01309467,0.98640960
844,0.99892968,0.00097349
845,0.99895871,0.00094954
846,0.99886972,0.00105089
847,0.00807185,0.99135500
848,0.01070618,0.98863435
849,0.01644734,0.98278576
850,0.01099909,0.98868412
851,0.99940729,0.00050828
852,0.99739093,0.00245565
853,0.01206657,0.98754323
854,0.01846581,0.98100775
855,0.00963726,0.98996514
856,0.99917644,0.00072434
857,0.98813021,0.00897636
858,0.00862507,0.99055076
859,0.01111896,0.98839998
860,0.99769944,0.00212483
861,0.01122468,0.98789513
862,0.99848586,0.00134926
863,0.99921095,0.00060534
864,0.99910706,0.00074496
865,0.01056623,0.98907346
866,0.99863237,0.00103914
867,0.01256445,0.98678851
868,0.99699116,0.00276036
869,0.07329313,0.92226958
870,0.99867958,0.00101944
871,0.00876771,0.99074781
872,0.00836196,0.99125457
873,0.99263680,0.00616784
874,0.98296088,0.01552648
875,0.99810421,0.00160623
876,0.98884416,0.01068225
877,0.01475605,0.98465675
878,0.99764448,0.00217918
879,0.01543645,0.98407090
880,0.99781811,0.00210435
881,0.00977108,0.98979938
882,0.99890888,0.00083855
883,0.00926709,0.99011421
884,0.00637053,0.99329787
885,0.99710172,0.00266424
886,0.02317161,0.97620755
887,0.96664453,0.01760949
888,0.00602445,0.99359131
889,0.01410792,0.98532873
890,0.99889696,0.00093741
891,0.99646652,0.00324918
892,0.00853925,0.99110085
893,0.99855775,0.00130572
894,0.68450731,0.31317440
895,0.01407104,0.98517901
896,0.99737763,0.00233670
897,0.99915087,0.00074710
898,0.99893874,0.00093813
899,0.98950225,0.01029499
900,0.99910933,0.00069218
901,0.99664932,0.00235747
902,0.99937809,0.00050349
903,0.99861228,0.00127768
904,0.01279552,0.98668516
905,0.99885523,0.00100047
906,0.99856037,0.00125906
907,0.00805104,0.99158925
908,0.01265339,0.98584485
909,0.99782819,0.00204034
910,0.99256223,0.00693745
911,0.00675722,0.99290472
912,0.01422536,0.98510414
913,0.01039550,0.98895323
914,0.99817479,0.00175022
915,0.01002790,0.98964649
916,0.01707419,0.98251134
917,0.98619139,0.01346249
918,0.01017382,0.98928833
919,0.99907470,0.00075829
920,0.99907875,0.00076691
921,0.99871135,0.00114544
922,0.01038146,0.98911637
923,0.99892634,0.00098218
924,0.01225695,0.98712188
925,0.99715197,0.00272180
926,0.99903131,0.00090089
927,0.00804217,0.99155152
928,0.05308250,0.94592196
929,0.03623910,0.96338260
930,0.02400237,0.97528923
931,0.99342924,0.00637557
932,0.99295539,0.00667071
933,0.00969492,0.98972988
934,0.99595177,0.00250252
935,0.99910468,0.00073307
936,0.01114981,0.98825115
937,0.99935609,0.00057155
938,0.99823630,0.00142935
939,0.99937326,0.00053398
940,0.99834371,0.00142539
941,0.00527673,0.99423164
942,0.99934155,0.00058389
943,0.99692923,0.00278177
944,0.99855775,0.00132205
945,0.01307562,0.98645031
946,0.99827409,0.00126111
947,0.01068128,0.98890531
948,0.00320828,0.99658644
949,0.86008406,0.13748819
950,0.99683642,0.00239750
951,0.00713042,0.99245995
952,0.99848855,0.00113536
953,0.99859792,0.00122422
954,0.95298135,0.04495295
955,0.99773186,0.00216681
956,0.02030287,0.97920585
957,0.00342231,0.99607015
958,0.00314866,0.99665391
959,0.01123939,0.98821926
960,0.99699879,0.00272309
961,0.00822361,0.99110109
962,0.00377594,0.99586558
963,0.99640900,0.00343112
964,0.00329786,0.99642378
965,0.99786478,0.00131311
966,0.99251455,0.00666826
967,0.00397766,0.99573851
968,0.00466912,0.99487728
969,0.01006158,0.98933393
970,0.99845862,0.00100837
971,0.00301485,0.99675769
972,0.01089418,0.98870289
973,0.01036013,0.98898625
974,0.56669956,0.43172556
975,0.99798381,0.00155691
976,0.99609995,0.00238202
977,0.99877638,0.00106924
978,0.99678457,0.00176917
979,0.99598855,0.00299199
980,0.96891439,0.02938187
981,0.99777240,0.00207105
982,0.00601896,0.99348629
983,0.00342966,0.99629718
984,0.00289920,0.99665415
985,0.96600825,0.03366102
986,0.99807441,0.00146995
987,0.99706370,0.00280125
988,0.98775291,0.01185079
989,0.99840611,0.00139932
990,0.00435822,0.99515849
991,0.99124640,0.00814239
992,0.99868947,0.00114736
993,0.99743903,0.00242039
994,0.00882006,0.99083555
995,0.02553274,0.97387141
996,0.00475600,0.99484599
